IS_PRIMARY,PROGRAMNAME,PROGRAMURL,CATALOGNAME,LASTUPDATED,NAME,KEYWORDS,DESCRIPTION,SKU,MANUFACTURER,MANUFACTURERID,UPC,ISBN,CURRENCY,SALEPRICE,PRICE,PRODUCT_PRICE,RETAILPRICE,FROMPRICE,BUYURL,IMPRESSIONURL,IMAGEURL,ADVERTISERCATEGORY,THIRDPARTYID,THIRDPARTYCATEGORY,AUTHOR,ARTIST,TITLE,PUBLISHER,LABEL,FORMAT,SPECIAL,GIFT,PROMOTIONALTEXT,STARTDATE,ENDDATE,OFFLINE,ONLINE,INSTOCK,CONDITION,WARRANTY,STANDARDSHIPPINGCOST
1,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246619792,V Neck Lace Dress,dresses,Shock; awe and inspire envious glances with this bebe cocktail dress; featuring sexy piping; a corset-style V-neckline top and exquisite lace trim. Style it with a high-gloss statement pump and an embellished minaudiere.,16855000390020,Bebe,16855000390020,,,USD,98,98,9800,,,http://www.dpbolvw.net/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fsale%2Flimited-time-offers%2Fview-all%2FV-Neck-Lace-Dress%2Fpc%2F270%2Fc%2F770%2Fsc%2F794%2F13586.pro%3FproductVariantId%3D498284%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D16855000390020,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-168550-blk-i1?$Main$,Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
1,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246619907,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151912400063,Bebe,18151912400063,,,USD,59,59,5900,,,http://www.jdoqocy.com/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D1071745%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151912400063,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-hko-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246619907,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151927640063,Bebe,18151927640063,,,USD,59,59,5900,,,http://www.tkqlhce.com/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D1042931%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151927640063,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-uts-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620023,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151903050016,Bebe,18151903050016,,,USD,59,59,5900,,,http://www.jdoqocy.com/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D500813%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151903050016,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-wht-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620023,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151924250016,Bebe,18151924250016,,,USD,59,59,5900,,,http://www.jdoqocy.com/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D1012933%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151924250016,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-aru-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620023,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151902880016,Bebe,18151902880016,,,USD,59,59,5900,,,http://www.kqzyfj.com/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D1024221%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151902880016,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-trq-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620023,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151997540016,Bebe,18151997540016,,,USD,59,59,5900,,,http://www.anrdoezrs.net/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D1024222%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151997540016,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-uaa-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620139,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151900390063,Bebe,18151900390063,,,USD,59,59,5900,,,http://www.dpbolvw.net/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D500777%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151900390063,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-blk-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
2,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620139,Back Cutout Shine Dress,dresses,Make an entrance in this hot-hued bebe bodycon dress; featuring a round neckline and lower back cutout. Made from a soft lightweight fabric that offers a glam luster and body-sculpting stretch. Try yours with layered bracelets and sky-high sandals to sculpt a sexy after-hours look.,18151991960016,Bebe,18151991960016,,,USD,59,59,5900,,,http://www.kqzyfj.com/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fdresses%2Fdresses-under-100%2FBack-Cutout-Shine-Dress%2Fpc%2F636%2Fc%2F197%2Fsc%2F199%2F13696.pro%3FproductVariantId%3D500793%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18151991960016,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-181519-fff-i1?$Main$,Clothing > Dresses . Clothing > Dresses > Bodycon . Clothing > Dresses > Cocktail & Evening . Clothing > Dresses . Dresses . Dresses . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
1,bebe.com,http://www.bebe.com,Bebe Product Catalog,41751.1246620255,Signature Stretch Skinny Jeans,athletic-pants,With classic five-pocket styling; soft stretch and a faded wash; this pair of bebe skinny jeans is destined to become a wardrobe favorite. Balance this silhouette with a dressy top and a great pair of heels.,18311385490039,Bebe,18311385490039,,,USD,89,89,8900,,,http://www.anrdoezrs.net/click-7494688-10937318?url=http%3A%2F%2Fwww.bebe.com%2Fclothing%2Fjeans%2Fbasics%2FSignature-Stretch-Skinny-Jeans%2Fpc%2F636%2Fc%2F225%2Fsc%2F683%2F13724.pro%3FproductVariantId%3D501366%26zmam%3D58582752%26zmas%3D1%26zmac%3D2%26zmap%3D18311385490039,http://www.ftjcfx.com/image-7494688-10937318,http://s7d9.scene7.com/is/image/bebe/rbb-183113-ust-i1?$Main$,Clothing . Clothing > Skinny . Clothing > Bottoms > Jeans . Clothing . Clothing > Bottoms > Pants . Clothing > Bottoms . Clothing . Clothing > All Clothing . Clothing,,,,,,,,,,,,,,,,yes,new,,4.95
